Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
838,569,1118847925800,56.931999999999995,2166.7889999999998,6452671.544,1871917.593,47.0,8.5,3,58.76,0.0,5,,,,,,,0,16,0.0,0.0,us-101
6,1707,1163030900,43.585,220.364,2230573.265,1375744.825,14.0,7.0,2,0.0,0.0,3,102.0,214.0,0.0,0.0,3.0,1.0,0,0,0.0,0.0,peachtree
869,661,1118847928900,30.206999999999997,2168.874,6452689.832,1871937.1919999998,16.5,6.4,2,49.12,0.0,3,,,,,,,0,7,0.0,0.0,us-101
4,226,1163030700,37.654,2028.219,2230833.519,1377492.9,12.8,7.4,2,2.72,0.0,2,113.0,215.0,5.0,0.0,3.0,1.0,0,0,0.0,0.0,peachtree
158,155,1163046100,32.721,681.3330000000001,2230607.631,1376204.99,15.1,6.6,2,20.29,0.0,1,122.0,203.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
35,31,1163033800,41.012,2003.174,2230840.67,1377468.6630000002,19.1,6.5,2,28.33,0.0,1,114.0,213.0,5.0,0.0,4.0,2.0,0,0,0.0,0.0,peachtree
23,22,1163032600,-10.700999999999999,196.24,2230515.578,1375730.551,15.5,7.0,2,22.8,-11.54,0,102.0,223.0,1.0,0.0,3.0,1.0,0,0,0.0,0.0,peachtree
15,9,1163031800,-11.779000000000002,120.87299999999999,2230502.756,1375655.2759999998,14.6,6.8,2,29.49,0.0,2,123.0,201.0,0.0,1.0,4.0,1.0,0,11,0.0,0.0,peachtree
682,676,1163098500,70.223,1222.728,2230886.711,1376658.591,12.0,6.6,2,21.64,0.0,1,121.0,206.0,0.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
682,676,1163098500,12.724,1200.6760000000002,2230825.1580000003,1376660.497,14.1,6.6,2,22.68,0.0,1,121.0,206.0,3.0,0.0,1.0,1.0,0,0,0.0,0.0,peachtree
1248,1242,1163155100,-18.56,99.87299999999999,2230494.297,1375634.894,15.0,7.0,2,28.25,0.0,2,120.0,201.0,0.0,1.0,4.0,1.0,0,94,0.0,0.0,peachtree
18,261,1163032100,42.541000000000004,2042.594,2230836.149,1377507.8530000001,12.9,7.5,2,7.52,0.0,3,113.0,214.0,0.0,0.0,3.0,1.0,0,0,0.0,0.0,peachtree
24,597,1163032700,40.476,220.942,2230570.306,1375745.94,14.5,7.0,2,18.91,0.0,3,102.0,203.0,0.0,0.0,3.0,1.0,0,0,0.0,0.0,peachtree
